duAn,huong,phapLy,noBed,soLau,Precinct,District,acreage_value,noBathroom
The Zenpark,,,2.0,,,Huyện Gia Lâm,67.0,2.0
Sunshine City,,,2.0,,,Quận Bắc Từ Liêm,73.0,2.0
Khu đô thị mới Linh Đàm,,,3.0,,Phường Đại Kim,Quận Hoàng Mai,85.0,-1.0
GoldSeason,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,59.0,1.0
Chung cư CT4 Yên Nghĩa,Bắc,,2.0,,Phường Yên Nghĩa,Quận Hà Đông,78.0,2.0
,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,71.0,2.0
The Sparks,,,3.0,,Phường Dương Nội,Quận Hà Đông,80.0,2.0
Nhà ở xã hội NO1 Hạ Đình - UDIC Eco Tower,,,2.0,,Xã Tân Triều,Huyện Thanh Trì,54.0,2.0
282 Lĩnh Nam,,,3.0,,Phường Lĩnh Nam,Quận Hoàng Mai,112.0,2.0
Eurowindow River Park,,,2.0,,Xã Đông Hội,Huyện Đông Anh,63.0,2.0
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Trung Văn,Quận Nam Từ Liêm,125.0,-1.0
,,,2.0,,Phường Nguyễn Trung Trực,Quận Ba Đình,45.0,1.0
,,,2.0,2.0,Phường Liễu Giai,Quận Ba Đình,52.0,-1.0
HPC Landmark 105,,,3.0,,Phường La Khê,Quận Hà Đông,118.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Láng Hạ,Quận Đống Đa,149.0,-1.0
KĐTM Cầu Bươu,,,2.0,,,Huyện Thanh Trì,86.0,2.0
HUD3 Nguyễn Đức Cảnh,,,2.0,,,Quận Hoàng Mai,70.0,2.0
Usilk City,Tây,,2.0,,Phường La Khê,Quận Hà Đông,94.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Láng Hạ,Quận Đống Đa,40.0,-1.0
,,,3.0,,Phường Thanh Nhàn,Quận Hai Bà Trưng,90.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,25.0,,Quận Hà Đông,120.0,-1.0
KĐTM Dương Nội,,,2.0,,Phường Dương Nội,Quận Hà Đông,62.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Dịch Vọng,Quận Cầu Giấy,76.0,-1.0
Sapphire Palace,,,3.0,,,Quận Thanh Xuân,98.0,2.0
,,,2.0,5.0,Phường Ngọc Lâm,Quận Long Biên,78.0,-1.0
Mỹ Đình Plaza 2,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,110.0,2.0
Eco City Việt Hưng,,,2.0,,Phường Giang Biên,Quận Long Biên,73.0,2.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,68.0,2.0
Mipec City View,,,2.0,,,Quận Hà Đông,55.0,1.0
Gemek Premium,,,2.0,,Xã An Khánh,Huyện Hoài Đức,66.0,-1.0
Green Diamond 93 Láng Hạ,,,2.0,,Phường Láng Hạ,Quận Đống Đa,86.0,-1.0
Mỹ Đình Plaza 2,,,3.0,,,Quận Nam Từ Liêm,101.0,2.0
ĐTM Dịch Vọng,,,3.0,,,Quận Cầu Giấy,108.0,2.0
Times City - Park Hill,,,3.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,102.0,2.0
,,,2.0,,Phường Tương Mai,Quận Hoàng Mai,69.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Phường Minh Khai,Quận Hai Bà Trưng,38.0,-1.0
The One Residence - Gamuda Garden,,,3.0,,Phường Yên Sở,Quận Hoàng Mai,82.0,2.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Dịch Vọng Hậu,Quận Cầu Giấy,76.0,-1.0
VP7 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,72.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,70.0,2.0
,,,2.0,,Phường Mai Dịch,Quận Cầu Giấy,65.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Kim Liên,Quận Đống Đa,60.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Trung Văn,Quận Nam Từ Liêm,109.0,-1.0
Khai Sơn Town,,,3.0,,Phường Ngọc Thụy,Quận Long Biên,120.0,-1.0
B.I.G Tower,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,125.0,2.0
CT5-CT6 Lê Đức Thọ,,,3.0,,,Quận Nam Từ Liêm,96.0,2.0
,,,2.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,66.0,2.0
Mỹ Đình Pearl,,,3.0,,Phường Phú Đô,Quận Nam Từ Liêm,94.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,63.0,-1.0
N01-T1 Ngoại Giao Đoàn,Tây,,4.0,,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,132.0,3.0
Hà Nội Paragon,,,2.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,90.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,70.0,-1.0
Đường Giải Phóng,Nam,,1.0,6.0,Phường Tương Mai,Quận Hoàng Mai,40.0,-1.0
The K Park,,,2.0,,,Quận Hà Đông,54.0,2.0
Thanh Hà Mường Thanh,,,2.0,,Phường Kiến Hưng,Quận Hà Đông,76.0,2.0
Vinhomes Nguyễn Chí Thanh,,,2.0,,Phường Láng Thượng,Quận Đống Đa,86.0,2.0
Golden Field Mỹ Đình,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,120.0,2.0
FLC Complex Phạm Hùng,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,54.0,2.0
Hà Nội Paragon,,,2.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,80.0,-1.0
,,,2.0,,,Quận Thanh Xuân,90.0,2.0
An Bình City,Bắc,,2.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,74.0,2.0
The Beverly - Vinhomes Ocean Park,,,1.0,,,Huyện Gia Lâm,48.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Nhân Chính,Quận Thanh Xuân,63.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Thanh Xuân Bắc,Quận Thanh Xuân,50.0,-1.0
Vinhomes Ocean Park,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,70.0,-1.0
Berriver Jardin,,,3.0,,Phường Bồ Đề,Quận Long Biên,101.0,-1.0
Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,56.0,2.0
Vinhomes Ocean Park Gia Lâm,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,80.0,2.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,68.0,-1.0
,,,2.0,,Phường Yên Sở,Quận Hoàng Mai,67.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Nhân Chính,Quận Thanh Xuân,129.0,-1.0
Lumi Hanoi,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,96.0,3.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,26.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,76.0,-1.0
,,,2.0,6.0,,Huyện Thanh Oai,76.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,4.0,Phường Thành Công,Quận Ba Đình,89.0,-1.0
Trung Hòa Nhân Chính,,,2.0,,,Quận Cầu Giấy,87.0,2.0
Masteri West Heights,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,89.0,-1.0
Vinhomes Gardenia,,,2.0,,,Quận Nam Từ Liêm,74.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Nhân Chính,Quận Thanh Xuân,105.0,-1.0
Vimeco I - Phạm Hùng,,,2.0,,,Quận Cầu Giấy,90.0,2.0
N04B Ngoại Giao Đoàn,,,3.0,,,Quận Bắc Từ Liêm,129.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Đại Kim,Quận Hoàng Mai,74.0,-1.0
,Nam,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Dịch Vọng,Quận Cầu Giấy,70.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường La Khê,Quận Hà Đông,116.0,-1.0
Mỹ Đình Plaza 2,Tây,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,104.0,2.0
,,,2.0,,Phường Yên Sở,Quận Hoàng Mai,56.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,22.0,Phường Cầu Diễn,Quận Nam Từ Liêm,129.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Đại Kim,Quận Hoàng Mai,65.0,-1.0
,,,4.0,,Phường Bạch Đằng,Quận Hai Bà Trưng,98.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,13.0,Phường Nhân Chính,Quận Thanh Xuân,145.0,-1.0
GoldSilk Complex,,,4.0,,Phường Vạn Phúc,Quận Hà Đông,130.0,3.0
HH3 Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,83.0,-1.0
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,54.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Phường Dịch Vọng,Quận Cầu Giấy,51.0,-1.0
Vinhomes D'Capitale,,,2.0,,,Quận Cầu Giấy,54.0,1.0
,,,2.0,6.0,Phường Tây Mỗ,Quận Nam Từ Liêm,50.0,-1.0
Eurowindow River Park,,,2.0,,,Huyện Đông Anh,67.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,153.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phường La Khê,Quận Hà Đông,100.0,-1.0
Imperia Smart City,,,2.0,,,Quận Nam Từ Liêm,55.0,1.0
,,,2.0,,Phường Đức Giang,Quận Long Biên,50.0,1.0
Eco City Việt Hưng,,,2.0,,,Quận Long Biên,73.0,2.0
Vinhomes Ocean Park,,,3.0,,,Huyện Gia Lâm,82.0,-1.0
Hei Tower Điện Lực,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,88.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Yên Sở,Quận Hoàng Mai,87.0,-1.0
Vinhomes Gardenia,,,2.0,,,Quận Nam Từ Liêm,73.0,2.0
KĐT Văn Phú,,,3.0,,,Quận Hà Đông,105.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,14.0,Phường Dịch Vọng,Quận Cầu Giấy,130.0,-1.0
Nhà ở cho CBCS Bộ Công an,Nam,,2.0,,,Quận Bắc Từ Liêm,70.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phường Dịch Vọng,Quận Cầu Giấy,120.0,-1.0
The Golden Palm Lê Văn Lương,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,83.0,2.0
The Sapphire-Vinhomes Smart City,Tây,,1.0,,,Quận Nam Từ Liêm,42.0,1.0
Hanoi Melody Residences,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,129.0,-1.0
,,,2.0,30.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,58.0,-1.0
Imperia Sola Park,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,76.0,2.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3.0,28.0,Phường Thượng Đình,Quận Thanh Xuân,100.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,95.0,-1.0
Xuân Mai Riverside,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,87.0,-1.0
,,,3.0,2.0,Phường Mai Dịch,Quận Cầu Giấy,40.0,-1.0
The Terra An Hưng,,,2.0,,Phường La Khê,Quận Hà Đông,75.0,-1.0
,,,2.0,,Phường Quan Hoa,Quận Cầu Giấy,65.0,1.0
The Sapphire-Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,1.0
C14 - Bộ Công An,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,70.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,30.0,Phường Nhân Chính,Quận Thanh Xuân,124.0,-1.0
The Miami,,,2.0,,,Quận Nam Từ Liêm,55.0,2.0
Grand Sunlake,,,2.0,,Phường Văn Quán,Quận Hà Đông,92.0,2.0
Hà Nội Center Point,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,60.0,2.0
The Sakura - Vinhomes Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,4.0,Phường Trung Liệt,Quận Đống Đa,80.0,-1.0
Golden Palace,,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,85.0,2.0
Trung Hòa Nhân Chính,,,3.0,,,Quận Cầu Giấy,151.0,3.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Trung Hòa,Quận Cầu Giấy,77.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Đại Kim,Quận Hoàng Mai,76.0,-1.0
Ecolife Capitol,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,80.0,2.0
,,,3.0,,Xã Thanh Liệt,Huyện Thanh Trì,60.0,2.0
The Golden Palm Lê Văn Lương,,,2.0,,,Quận Thanh Xuân,82.0,2.0
HH1 Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,56.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Trung Hòa,Quận Cầu Giấy,75.0,-1.0
Đường Nguyễn Trãi,,,3.0,,Phường Thượng Đình,Quận Thanh Xuân,94.0,-1.0
Masteri West Heights,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,63.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,20.0,Phường Kiến Hưng,Quận Hà Đông,59.0,-1.0
The Zurich,,,1.0,,Xã Đa Tốn,Huyện Gia Lâm,40.0,-1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phường Định Công,Quận Hoàng Mai,71.0,-1.0
VP5 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,45.0,1.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,48.0,1.0
Berriver Jardin,,,4.0,,Phường Bồ Đề,Quận Long Biên,118.0,-1.0
Vinhomes Ocean Park Gia Lâm,Bắc,,2.0,,Xã Dương Xá,Huyện Gia Lâm,63.0,2.0
Iris Garden,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,65.0,2.0
The Legend Tower,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,73.0,-1.0
Masteri West Heights,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,2.0
,,,2.0,1.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,4.0,Phường Ngọc Hà,Quận Ba Đình,100.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phường Thanh Nhàn,Quận Hai Bà Trưng,70.0,-1.0
Central Field Trung Kính,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,70.0,2.0
Tabudec Plaza,,,2.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,74.0,2.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Huyện Gia Lâm,36.0,1.0
,,,3.0,,Phường Mai Dịch,Quận Cầu Giấy,90.0,3.0
Feliz Homes,,,3.0,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,90.0,-1.0
,,,2.0,,Phường Bạch Đằng,Quận Hai Bà Trưng,65.0,1.0
The Sparks,,,2.0,,Phường Dương Nội,Quận Hà Đông,53.0,2.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,47.0,1.0
,,,2.0,16.0,Phường Ô Chợ Dừa,Quận Đống Đa,64.0,-1.0
Hoàng Thành Pearl,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,114.0,-1.0
Xuân Mai Sparks Tower,,,2.0,,Phường Dương Nội,Quận Hà Đông,72.0,-1.0
Xuân Mai Complex,,,2.0,,Phường Yên Nghĩa,Quận Hà Đông,52.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Phú La,Quận Hà Đông,98.0,-1.0
D’. El Dorado,,,2.0,,,Quận Tây Hồ,55.0,1.0
FLC Star Tower,,,3.0,,Phường Quang Trung,Quận Hà Đông,100.0,2.0
Sunshine Garden,,,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,72.0,-1.0
Hà Nội Melody Residences,,,2.0,,,Quận Hoàng Mai,64.0,2.0
Hà Nội Melody Residences,Tây,,2.0,,,Quận Hoàng Mai,68.0,2.0
Đền Lừ II,Nam,,3.0,,,Quận Hoàng Mai,72.0,2.0
Intracom1,,,3.0,,,Quận Nam Từ Liêm,117.0,2.0
Hà Nội Paragon,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,140.0,2.0
,,,3.0,14.0,Phường Thịnh Liệt,Quận Hoàng Mai,94.0,-1.0
Xuân Mai Complex,,,1.0,,Phường Yên Nghĩa,Quận Hà Đông,49.0,1.0
Vinpearl Đà Nẵng Resort and Villas,,,2.0,,Phường Thượng Đình,Quận Thanh Xuân,93.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,Phường Thịnh Liệt,Quận Hoàng Mai,54.0,-1.0
Đường Nguyễn Trãi,,,2.0,,Phường Thượng Đình,Quận Thanh Xuân,90.0,-1.0
Golden Palace,,,3.0,,,Quận Nam Từ Liêm,128.0,2.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,54.0,1.0
,Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,14.0,Phường Hoàng Văn Thụ,Quận Hoàng Mai,66.0,-1.0
30 Phạm Văn Đồng,,,2.0,,,Quận Cầu Giấy,63.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Xuân Tảo,Quận Bắc Từ Liêm,103.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,19.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,120.0,-1.0
,,,2.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,77.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,68.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phường Thịnh Liệt,Quận Hoàng Mai,80.0,-1.0
Imperia Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,2.0
Tân Tây Đô,,,2.0,,,Huyện Đan Phượng,54.0,2.0
,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,65.0,-1.0
Hei Tower Điện Lực,,,3.0,,,Quận Thanh Xuân,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,72.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phường Văn Miếu,Quận Đống Đa,60.0,-1.0
The Pavilion - Vinhomes Ocean Park,,,2.0,,,Huyện Gia Lâm,68.0,2.0
Hoàng Thành Pearl,,,2.0,,,Quận Nam Từ Liêm,79.0,2.0
Samsora Premier,Bắc,,2.0,,,Quận Hà Đông,70.0,2.0
Sunshine Palace,,,2.0,,Phường Mai Động,Quận Hoàng Mai,79.0,2.0
Summit Building,,,2.0,,,Quận Cầu Giấy,86.0,2.0
The Emerald CT8 Mỹ Đình,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,89.0,2.0
Chung cư CT4 Yên Nghĩa,,,3.0,,Phường Yên Nghĩa,Quận Hà Đông,110.0,2.0
,,,2.0,5.0,Phường Dương Nội,Quận Hà Đông,72.0,-1.0
,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Xã Tân Triều,Huyện Thanh Trì,76.0,-1.0
Thống Nhất Complex,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,89.0,2.0
Nhà ở xã hội @Home,Đông,,2.0,,Phường Yên Sở,Quận Hoàng Mai,46.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Nghĩa Tân,Quận Cầu Giấy,51.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,101.0,-1.0
Thành Phố Giao Lưu,,,2.0,28.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,70.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Nhân Chính,Quận Thanh Xuân,70.0,-1.0
Hapulico Complex,,,3.0,,,Quận Thanh Xuân,140.0,2.0
Mailand Hanoi City,,,3.0,,,Huyện Hoài Đức,150.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Cầu Diễn,Quận Nam Từ Liêm,77.0,-1.0
Viha Complex,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,72.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Xã Kim Chung,Huyện Hoài Đức,83.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Kim Mã,Quận Ba Đình,75.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Vĩnh Tuy,Quận Hai Bà Trưng,70.0,-1.0
,,,3.0,5.0,Phường Dịch Vọng,Quận Cầu Giấy,85.0,-1.0
Imperia Sola Park,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,62.0,2.0
Căn hộ Thông tấn xã,,,2.0,,,Quận Hoàng Mai,85.0,2.0
Đền Lừ II,Nam,,2.0,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,70.0,2.0
,,,2.0,10.0,Phường Dịch Vọng,Quận Cầu Giấy,65.0,-1.0
,,,3.0,1.0,Phường Phúc La,Quận Hà Đông,88.0,-1.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Huyện Gia Lâm,47.0,1.0
Thành Phố Giao Lưu,,,2.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,76.0,2.0
Goldmark City,,,3.0,,,Quận Bắc Từ Liêm,94.0,2.0
,,,3.0,,Phường Kim Mã,Quận Ba Đình,83.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Láng Hạ,Quận Đống Đa,106.0,-1.0
HH1 Linh Đàm,,,2.0,,,Quận Hoàng Mai,56.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Kim Mã,Quận Ba Đình,60.0,-1.0
,,,2.0,1.0,Phường Trung Hòa,Quận Cầu Giấy,70.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,27.0,Phường Dịch Vọng Hậu,Quận Cầu Giấy,95.0,-1.0
Chung cư Viện 103,,,2.0,,Xã Tân Triều,Huyện Thanh Trì,79.0,2.0
Hồng Hà Tower,Nam,,2.0,,Phường Thịnh Liệt,Quận Hoàng Mai,57.0,2.0
SDU 143 Trần Phú,,,2.0,,Phường Văn Quán,Quận Hà Đông,68.0,2.0
Vimeco II - Nguyễn Chánh,,,4.0,,Phường Trung Hòa,Quận Cầu Giấy,136.0,3.0
Seasons Avenue,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,112.0,2.0
,,,1.0,,Phường Khương Trung,Quận Thanh Xuân,30.0,-1.0
Le Grand Jardin Sài Đồng,,,3.0,,Phường Sài Đồng,Quận Long Biên,108.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Định Công,Quận Hoàng Mai,62.0,-1.0
,,,2.0,,Phường Thành Công,Quận Ba Đình,60.0,1.0
Vinhomes Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,34.0,1.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Huyện Gia Lâm,32.0,-1.0
,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,85.0,-1.0
,,,3.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,92.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Cầu Diễn,Quận Nam Từ Liêm,130.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Khương Trung,Quận Thanh Xuân,84.0,-1.0
Nhà ở cho CBCS Bộ Công an,,,2.0,,,Quận Bắc Từ Liêm,70.0,2.0
Five Star Garden,,,2.0,,Phường Kim Giang,Quận Thanh Xuân,77.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phường Láng Hạ,Quận Đống Đa,80.0,-1.0
Sông Hồng Park View,,,3.0,,Phường Láng Hạ,Quận Đống Đa,121.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,86.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Hoàng Liệt,Quận Hoàng Mai,75.0,-1.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,,Huyện Gia Lâm,60.0,2.0
Khai Sơn City,,,3.0,,Phường Ngọc Thụy,Quận Long Biên,120.0,3.0
Trung Hòa Nhân Chính,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,96.0,2.0
La Casta Văn Phú,,,2.0,,Phường Phú La,Quận Hà Đông,84.0,2.0
Xuân Mai Complex,,,3.0,,,Quận Hà Đông,117.0,2.0
Eco City Việt Hưng,,,2.0,,Phường Giang Biên,Quận Long Biên,78.0,-1.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Huyện Gia Lâm,37.0,1.0
Khu đô thị Mỹ Đình I,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,100.0,-1.0
Eco City Việt Hưng,,,2.0,,Phường Giang Biên,Quận Long Biên,78.0,2.0
,,,3.0,2.0,Phường Thanh Xuân Bắc,Quận Thanh Xuân,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Hoàng Liệt,Quận Hoàng Mai,73.0,-1.0
Đồng Phát Park View Tower,,,2.0,,Phường Vĩnh Hưng,Quận Hoàng Mai,76.0,-1.0
,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,47.0,-1.0
,,,4.0,,Phường Chương Dương,Quận Hoàn Kiếm,120.0,3.0
Mỹ Đình Pearl,,,3.0,,,Quận Nam Từ Liêm,97.0,2.0
Xuân Mai Complex,,,2.0,,Phường La Khê,Quận Hà Đông,55.0,-1.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,146.0,3.0
Mipec Rubik 360,Tây,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,108.0,2.0
Vinhomes Ocean Park Gia Lâm,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,80.0,2.0
