duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Đường Quang Trung,Phường Yên Nghĩa,Quận Hà Đông,95.0,2.68,
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Đường Tố Hữu,Phường Dương Nội,Quận Hà Đông,84.0,2.68,
,,Giấy tờ hợp lệ,3.0,15.0,Đường Lê Trọng Tấn,Phường Hà Cầu,Quận Hà Đông,140.0,4.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,72.0,2.65,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Đường Định Công,Phường Định Công,Quận Hoàng Mai,72.0,3.9,
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phố Xa La,Phường Phúc La,Quận Hà Đông,85.0,2.3,
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Đường Lê Xuân Điệp,Phường Kiến Hưng,Quận Hà Đông,75.0,2.78,
,,,2.0,16.0,Đường Lĩnh Nam,Phường Vĩnh Hưng,Quận Hoàng Mai,70.0,3.45,
,,,2.0,3.0,Đường  Hồ Đền Lừ,Phường Hoàng Văn Thụ,Quận Hoàng Mai,65.0,3.1,
,,,2.0,12.0,,Phường Yên Sở,Quận Hoàng Mai,53.0,2.48,
,,,2.0,19.0,Đường Lĩnh Nam,Phường Vĩnh Hưng,Quận Hoàng Mai,70.0,3.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,,Phường Sài Đồng,Quận Long Biên,30.0,0.955,
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,123.0,4.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,16.0,Đường Đại lộ Thăng Long,Xã Vân Canh,Huyện Hoài Đức,100.0,4.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,25.0,Đường Đại Lộ Thăng Long,Phường Mễ Trì,Quận Nam Từ Liêm,91.0,3.5,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường 70,Phường Xuân Phương,Quận Nam Từ Liêm,107.0,3.6,
,,,3.0,,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,115.0,5.75,
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Đường Quang Trung,Phường Quang Trung,Quận Hà Đông,80.0,3.75,
,,Giấy chứng nhận quyền sở hữu đất,3.0,35.0,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,90.0,4.5,
,,,2.0,,Đường Lĩnh Nam,Phường Mai Động,Quận Hoàng Mai,92.0,3.1,
,,Giấy chứng nhận quyền sở hữu đất,3.0,6.0,Đường Thịnh Liệt,Phường Thịnh Liệt,Quận Hoàng Mai,90.0,3.8,
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Đường Nguyễn Đức Cảnh,Phường Tương Mai,Quận Hoàng Mai,55.0,3.5,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Hoàng Quốc Việt,Phường Nghĩa Tân,Quận Cầu Giấy,65.0,3.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Núi Trúc,Phường Kim Mã,Quận Ba Đình,23.0,2.65,
,,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,Phố Minh Tảo,Phường Xuân Tảo,Quận Bắc Từ Liêm,64.0,5.5,
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phố Quan Nhân,Phường Nhân Chính,Quận Thanh Xuân,40.0,1.16,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Đường Giảng Võ,Phường Giảng Võ,Quận Ba Đình,63.0,5.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Phương Mai,Phường Phương Mai,Quận Đống Đa,70.0,4.4,
,,Giấy tờ hợp lệ,3.0,20.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,98.0,5.67,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,1.0,20.0,,Phường Xuân La,Quận Tây Hồ,39.0,2.7,
,,,2.0,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,83.0,5.6,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,81.0,5.2,
,,Giấy chứng nhận quyền sở hữu đất,3.0,11.0,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,131.0,7.98,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Đường Phạm Văn Đồng,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,70.0,3.99,
,,Giấy chứng nhận quyền sở hữu đất,3.0,17.0,Đường Mỹ Đình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,108.0,4.85,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nguyễn Khuyến,Phường Văn Quán,Quận Hà Đông,76.0,4.35,
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phố Phạm Khắc Quảng,Phường Giang Biên,Quận Long Biên,77.0,2.75,
,,,2.0,1.0,Phố Chùa Bộc,Phường Quang Trung,Quận Đống Đa,60.0,4.95,
,Nam,Giấy chứng nhận quyền sở hữu đất,3.0,,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,83.0,6.1,
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Đường Thành Công,Phường Láng Hạ,Quận Đống Đa,45.0,1.85,
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Đường Thanh Nhàn,Phường Thanh Nhàn,Quận Hai Bà Trưng,70.0,2.6,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Đại lộ Thăng Long,Xã An Khánh,Huyện Hoài Đức,75.0,3.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phố Bùi Ngọc Dương,Phường Thanh Nhàn,Quận Hai Bà Trưng,70.0,2.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phố Tôn Thất Tùng,Phường Khương Thượng,Quận Đống Đa,70.0,2.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,4.0,Phố Phạm Ngọc Thạch,Phường Kim Liên,Quận Đống Đa,80.0,3.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Tạ Quang Bửu,Phường Bách Khoa,Quận Hai Bà Trưng,100.0,6.6,
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phố Chợ Khâm Thiên,Phường Khâm Thiên,Quận Đống Đa,70.0,2.05,
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Đường Thanh Nhàn,Phường Thanh Nhàn,Quận Hai Bà Trưng,70.0,2.7,
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Phố Phạm Ngọc Thạch,Phường Phương Liên,Quận Đống Đa,70.0,3.0,
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Đường Nguyễn Hiền,Phường Bách Khoa,Quận Hai Bà Trưng,90.0,4.7,
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phố Nguyễn Công Trứ,Phường Phố Huế,Quận Hai Bà Trưng,40.0,3.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Phố Tạ Quang Bửu,Phường Bách Khoa,Quận Hai Bà Trưng,80.0,3.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,24.0,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,70.0,3.95,
,Nam,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Đường Đại Kim,Phường Đại Kim,Quận Hoàng Mai,71.0,2.95,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 2,Quận Nam Từ Liêm,83.0,6.45,
,,,2.0,7.0,Đường Trần Hữu Dực,Phường Cầu Diễn,Quận Nam Từ Liêm,77.0,5.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Đường Mai Dịch,Phường Mai Dịch,Quận Cầu Giấy,54.0,1.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,77.0,5.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy,82.0,5.2,
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,78.0,5.5,
,,,3.0,1.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,74.0,5.18,
,,,3.0,10.0,Đường Đại Lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,81.0,6.12,
,,,2.0,23.0,Đường Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,82.0,5.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy,84.0,4.9,
,,,2.0,1.0,Đường Cầu vượt Mai Dịch,Phường Mai Dịch,Quận Cầu Giấy,70.0,3.35,
,,,3.0,1.0,Đường Mỹ Đình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,81.0,4.3,
,,,3.0,18.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,104.0,6.5,
,,,3.0,20.0,,Phường Trung Hòa,Quận Cầu Giấy,101.0,7.8,
,,,3.0,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,126.0,7.2,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,77.0,4.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phố Đại Từ,Phường Đại Kim,Quận Hoàng Mai,74.0,4.52,
,,,3.0,21.0,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,114.0,7.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Cầu Bươu,Xã Tân Triều,Huyện Thanh Trì,78.0,3.25,
,,,3.0,18.0,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông,105.0,4.1,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Lương Định Của,Phường Kim Liên,Quận Đống Đa,75.0,2.6,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3.0,,,Phường Thạch Bàn,Quận Long Biên,94.0,3.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,65.0,4.85,
,,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Phố Vũ Ngọc Phan,Phường Láng Hạ,Quận Đống Đa,90.0,3.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phố Tôn Thất Tùng,Phường Khương Thượng,Quận Đống Đa,70.0,2.9,
,,Giấy chứng nhận quyền sở hữu đất,2.0,6.0,Đường Thịnh Liệt,Phường Thịnh Liệt,Quận Hoàng Mai,55.0,2.7,
,Nam,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Đường Quỳnh Mai,Phường Quỳnh Mai,Quận Hai Bà Trưng,70.0,2.98,
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Đường Nguyễn Trãi,Phường Thanh Xuân Bắc,Quận Thanh Xuân,70.0,2.35,
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân,67.0,2.3,
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Đường Nguyễn Trãi,Phường Thanh Xuân Trung,Quận Thanh Xuân,50.0,1.9,
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,50.0,2.1,
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,90.0,6.25,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,108.0,7.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Đường Quang Trung,Phường La Khê,Quận Hà Đông,79.0,4.4,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Đường Nguyễn Khuyến,Phường Văn Quán,Quận Hà Đông,69.0,3.8,
,,,2.0,21.0,Đường Khương Trung,Phường Khương Trung,Quận Thanh Xuân,83.0,3.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Đường Tố Hữu,Phường Đại Mỗ,Quận Nam Từ Liêm,70.0,4.95,
,Đông,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Đường Xuân Tảo,Phường Xuân Tảo,Quận Bắc Từ Liêm,129.0,8.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 2,Quận Nam Từ Liêm,120.0,5.4,
,,Giấy tờ hợp lệ,2.0,10.0,Đường Mễ Trì Thượng,Phường Mễ Trì,Quận Nam Từ Liêm,88.0,3.55,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,98.0,4.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,72.0,4.02,
,,,2.0,15.0,,Phường Dịch Vọng,Quận Cầu Giấy,80.0,7.2,
,,,3.0,10.0,,Phường Trung Văn,Quận Nam Từ Liêm,116.0,6.8,
,,,2.0,4.0,Phố Lương Định Của,Phường Kim Liên,Quận Đống Đa,75.0,2.6,
,,,2.0,25.0,Đường Bát Khối,Phường Thạch Bàn,Quận Long Biên,76.0,3.4,
,,,2.0,4.0,Phố Lương Định Của,Phường Kim Liên,Quận Đống Đa,75.0,2.6,
,,,2.0,7.0,Phố Tôn Thất Tùng,Phường Khương Thượng,Quận Đống Đa,40.0,1.08,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Lê Đức Thọ,Phường Cầu Diễn,Quận Nam Từ Liêm,120.0,5.9,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phố Chùa Bộc,Phường Phương Mai,Quận Đống Đa,58.0,3.45,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phố Thái Thịnh,Phường Thịnh Quang,Quận Đống Đa,46.0,3.7,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nam Đồng,Phường Nam Đồng,Quận Đống Đa,43.0,4.2,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,93.0,5.18,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,73.0,6.95,
,,Giấy tờ hợp lệ,2.0,1.0,Đường Đình Thôn,Phường Mỹ Đình 1,Quận Nam Từ Liêm,50.0,1.48,
,,,1.0,8.0,,Phường Khương Đình,Quận Thanh Xuân,45.0,1.36,
,,,2.0,1.0,,Phường Trung Hòa,Quận Cầu Giấy,62.0,4.55,
,,,2.0,1.0,Phố Lương Định Của,Phường Kim Liên,Quận Đống Đa,66.0,2.28,
,,,2.0,6.0,Đường Nguyễn Xiển,Phường Đại Kim,Quận Hoàng Mai,57.0,2.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,18.0,,Phường Tương Mai,Quận Hoàng Mai,74.0,4.7,
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Đường Hoàng Quốc Việt,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,48.0,3.15,
,,Giấy chứng nhận quyền sở hữu đất,3.0,9.0,Đường Thịnh Liệt,Phường Thịnh Liệt,Quận Hoàng Mai,55.0,2.58,
,,,2.0,29.0,Đường Bằng Liệt,Phường Đại Kim,Quận Hoàng Mai,84.0,3.6,
,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,27.0,Đường Thạch Bàn,Phường Thạch Bàn,Quận Long Biên,76.0,3.38,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,86.0,6.3,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Đội Nhân,Phường Vĩnh Phúc,Quận Ba Đình,86.0,5.2,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Hoàng Quốc Việt,Phường Xuân La,Quận Tây Hồ,130.0,7.55,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Yên Hòa,Phường Yên Hòa,Quận Cầu Giấy,104.0,5.65,
,,Giấy tờ hợp lệ,2.0,1.0,Đường Trường Chinh,Phường Khương Thượng,Quận Đống Đa,50.0,1.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Ngụy Như Kon Tum,Phường Nhân Chính,Quận Thanh Xuân,80.0,5.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Xuân La,Phường Xuân La,Quận Tây Hồ,75.0,4.25,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Mai Dịch,Phường Mai Dịch,Quận Cầu Giấy,90.0,3.1,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,115.0,5.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phố Hoàng Văn Thái,Phường Khương Trung,Quận Thanh Xuân,82.0,5.1,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Khuất Duy Tiến,Phường Thanh Xuân Bắc,Quận Thanh Xuân,80.0,2.88,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân,82.0,3.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Láng Hạ,Phường Láng Hạ,Quận Đống Đa,101.0,7.6,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,70.0,4.2,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm,126.0,5.97,
,,Giấy tờ hợp lệ,3.0,1.0,Phố Núi Trúc,Phường Kim Mã,Quận Ba Đình,106.0,4.4,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Mễ Trì,Phường Mễ Trì,Quận Nam Từ Liêm,80.0,5.3,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,87.0,4.29,
,,Giấy tờ hợp lệ,2.0,1.0,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,75.0,3.85,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phố Thái Thịnh,Phường Thịnh Quang,Quận Đống Đa,115.0,5.9,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phố Trung Kính,Phường Trung Hòa,Quận Cầu Giấy,110.0,5.4,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,100.0,4.35,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy,90.0,4.05,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,91.0,5.3,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,65.0,3.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,72.0,3.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,68.0,4.16,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nam Trung Yên,Phường Trung Hòa,Quận Cầu Giấy,75.0,3.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Trần Bình,Phường Mai Dịch,Quận Cầu Giấy,82.0,3.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Trần Quý Kiên,Phường Dịch Vọng,Quận Cầu Giấy,66.0,4.15,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy,72.0,5.7,
,,,2.0,1.0,Đường Đình Thôn,Phường Mỹ Đình 1,Quận Nam Từ Liêm,70.0,3.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,72.0,5.05,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa,130.0,8.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,65.0,3.43,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phố Chính Kinh,Phường Thượng Đình,Quận Thanh Xuân,100.0,5.6,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Giải Phóng,Phường Phương Liệt,Quận Thanh Xuân,103.0,4.65,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm,86.0,5.4,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Trương Định,Phường Tân Mai,Quận Hoàng Mai,70.0,2.88,
,,,2.0,33.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,79.0,7.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Láng Trung,Phường Láng Hạ,Quận Đống Đa,60.0,3.5,
,,,2.0,5.0,Phố Đại La,Phường Trương Định,Quận Hai Bà Trưng,60.0,2.65,
,,Giấy chứng nhận quyền sở hữu đất,3.0,9.0,Đường Hoàng Quốc Việt,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,88.0,4.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Doãn Kế Thiện,Phường Mai Dịch,Quận Cầu Giấy,55.0,1.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Nguyễn Khánh Toàn,Phường Nghĩa Đô,Quận Cầu Giấy,36.0,2.95,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,81.0,7.0,
,Đông,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Mỹ Đình,Phường Mỹ Đình 1,Quận Nam Từ Liêm,108.0,4.82,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phố Doãn Kế Thiện,Phường Mai Dịch,Quận Cầu Giấy,77.0,2.8,
,,Giấy chứng nhận quyền sở hữu đất,3.0,22.0,Đường Nguyễn Cơ Thạch,Phường Cầu Diễn,Quận Nam Từ Liêm,129.0,6.9,
,Nam,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Tân Xuân,Phường Đông Ngạc,Quận Bắc Từ Liêm,70.0,3.85,
,,,2.0,1.0,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,109.0,8.5,
,,,3.0,,Đường Phúc Lợi,Phường Phúc Lợi,Quận Long Biên,78.0,3.3,
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Đường Tam Trinh,Phường Yên Sở,Quận Hoàng Mai,70.0,3.85,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,,Xã Đông Hội,Huyện Đông Anh,68.0,2.95,
,,Giấy chứng nhận quyền sở hữu đất,3.0,7.0,Đường Mỹ Đình,Phường Mỹ Đình 1,Quận Nam Từ Liêm,90.0,4.5,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Trần Thủ Độ,Phường Hoàng Liệt,Quận Hoàng Mai,77.0,3.25,
,,Giấy chứng nhận quyền sở hữu đất,,,Phố Dương Đình Nghệ,Phường Yên Hòa,Quận Cầu Giấy,125.0,6.2,
,,,,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,65.0,3.6,
,Tây Nam,Giấy chứng nhận quyền sở hữu đất,3.0,,,Phường Thanh Xuân Trung,Quận Thanh Xuân,100.0,6.9,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3.0,,,Phường Nhân Chính,Quận Thanh Xuân,100.0,5.4,
,,Giấy chứng nhận quyền sở hữu đất,,,,Phường Cầu Diễn,Quận Nam Từ Liêm,80.0,5.6,
,,,3.0,16.0,,Phường Trung Văn,Quận Nam Từ Liêm,95.0,6.8,
,,,2.0,10.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,70.0,4.8,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 1,Quận Nam Từ Liêm,85.0,4.85,
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,62.0,3.1,
,,Giấy chứng nhận quyền sở hữu đất,3.0,17.0,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,110.0,5.8,
,,,2.0,4.0,Đường Mộc Lan 6,Phường Mỹ Đình 1,Quận Nam Từ Liêm,48.0,1.49,
,,Giấy chứng nhận quyền sở hữu đất,3.0,13.0,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 2,Quận Nam Từ Liêm,85.0,4.85,
,,,2.0,7.0,,Phường Khương Đình,Quận Thanh Xuân,50.0,1.2,
,,,3.0,15.0,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,100.0,5.5,
,,,3.0,,Đường Dịch Vọng,Phường Dịch Vọng,Quận Cầu Giấy,60.0,2.5,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Mễ Trì,Phường Mễ Trì,Quận Nam Từ Liêm,105.0,6.85,
,,,3.0,33.0,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,85.0,6.3,
,,Giấy tờ hợp lệ,2.0,,,Phường Hoàng Liệt,Quận Hoàng Mai,66.0,2.62,
,Tây Nam,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm,106.0,3.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Nguyễn Cơ Thạch,Phường Cầu Diễn,Quận Nam Từ Liêm,63.0,3.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,90.0,7.2,
,,,2.0,10.0,Phố Giáp Nhị,Phường Thịnh Liệt,Quận Hoàng Mai,85.0,3.58,
,,,2.0,,Đường Trần Hữu Dực,Phường Cầu Diễn,Quận Nam Từ Liêm,61.0,3.7,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Lưu Hữu Phước,Phường Cầu Diễn,Quận Nam Từ Liêm,121.0,3.2,
