duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,City,acreage_value,acreage_unit,price_value,price_unit,noBathroom
C14 - Bộ Công An,,,3,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,132.0,m2,5.7,tỷ,2
Grand Sunlake,,,3,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,Hà Nội,92.0,m2,3.4,tỷ,2
,,,2,,Phố Nghĩa Tân,Phường Nghĩa Tân,Quận Cầu Giấy,Hà Nội,55.0,m2,3.2,tỷ,1
,,,5,,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy,Hà Nội,245.0,m2,16.0,tỷ,3
KĐT Linh Đàm,,,2,,,,Quận Hoàng Mai,Hà Nội,73.0,m2,3.55,tỷ,1
Eco Lake View,,,3,,,,Quận Hoàng Mai,Hà Nội,90.0,m2,5.45,tỷ,2
KĐT Linh Đàm,,,2,,,,Quận Hoàng Mai,Hà Nội,65.0,m2,3.4,tỷ,1
Tòa Tháp Thiên Niên Kỷ,,,1,,Đường Quang Trung,Phường Yết Kiêu,Quận Hà Đông,Hà Nội,63.0,m2,3.6,tỷ,1
Lancaster Hà Nội,,,,,Đường Núi Trúc,,Quận Ba Đình,Hà Nội,50.0,m2,4.6,tỷ,
N01-T6 Ngoại Giao Đoàn,Bắc,,3,,Đường Nguyễn Văn Huyên,Phường Xuân Tảo,Quận Bắc Từ Liêm,Hà Nội,104.0,m2,13.0,tỷ,2
Tây Hồ Residence,,,3,,,Phường Xuân La,Quận Tây Hồ,Hà Nội,107.0,m2,,tỷ,2
Golden Palace,,,2,,,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,85.0,m2,5.0,tỷ,2
Hemisco Xa La,,,3,,,,Quận Hà Đông,Hà Nội,89.0,m2,3.85,tỷ,2
Tòa Tháp Thiên Niên Kỷ,,,2,,Đường Quang Trung,Phường Yết Kiêu,Quận Hà Đông,Hà Nội,78.0,m2,5.0,tỷ,2
Hồ Gươm Plaza,,,3,,Đường Trần Phú,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,141.0,m2,6.6,tỷ,2
Vinhomes West Point,,,3,,Đường Phạm Hùng,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,85.0,m2,8.0,tỷ,2
The Garden Hills - 99 Trần Bình,,,2,,,,Quận Nam Từ Liêm,Hà Nội,65.0,m2,4.62,tỷ,2
Imperia Sola Park,,,3,,,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,76.0,m2,4.8,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,1,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,42.0,m2,,tỷ,1
BRG Diamond Residence,,,4,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,160.0,m2,14.5,tỷ,3
Việt Đức Complex,,,2,,Đường Khuất Duy Tiến,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,80.0,m2,4.2,tỷ,2
Vinhomes Metropolis - Liễu Giai,,,3,,Phố Liễu Giai,Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,120.0,m2,18.0,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,1,,,Xã Đa Tốn,Huyện Gia Lâm,Hà Nội,43.0,m2,2.55,tỷ,1
Chung cư Viện 103,,,3,,Đường Yên Xá,Xã Tân Triều,Huyện Thanh Trì,Hà Nội,111.0,m2,4.58,tỷ,2
Hồng Hà Eco City,Nam,,2,,,Xã Tứ Hiệp,Huyện Thanh Trì,Hà Nội,64.0,m2,2.85,tỷ,1
The Nine,,,3,,,,Quận Cầu Giấy,Hà Nội,117.0,m2,10.0,tỷ,2
Mulberry Lane,,,3,,,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,121.0,m2,6.0,tỷ,2
VP6 Linh Đàm,,,2,,,,Quận Hoàng Mai,Hà Nội,66.0,m2,,tỷ,2
The London - Vinhomes Ocean Park,,,2,,,,Huyện Gia Lâm,Hà Nội,54.0,m2,3.52,tỷ,2
FLC Star Tower,,,3,,Đường Quang Trung,Phường Quang Trung,Quận Hà Đông,Hà Nội,100.0,m2,5.0,tỷ,2
D’. Le Roi Soleil,,,3,,Đường Xuân Diệu,Phường Quảng An,Quận Tây Hồ,Hà Nội,137.0,m2,14.2,tỷ,2
Sunshine Golden River,,,3,,,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,160.0,m2,14.0,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,2,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,60.0,m2,2.5,tỷ,1
Vinhomes Ocean Park Gia Lâm,,,2,,Đường Đông Dư,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,72.0,m2,4.45,tỷ,2
VP6 Linh Đàm,,,2,,,,Quận Hoàng Mai,Hà Nội,66.0,m2,2.35,tỷ,2
,,,3,,Phố Ngọc Khánh,Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,80.0,m2,3.83,tỷ,2
KĐT Linh Đàm,Bắc,,3,,,,Quận Hoàng Mai,Hà Nội,76.0,m2,,tỷ,2
Sky Central,,,3,,,,Quận Hoàng Mai,Hà Nội,103.0,m2,7.0,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,2,,,,Huyện Gia Lâm,Hà Nội,68.0,m2,2.9,tỷ,2
Hà Nội Melody Residences,,,3,,,,Quận Hoàng Mai,Hà Nội,100.0,m2,,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,2,,,,Huyện Gia Lâm,Hà Nội,68.0,m2,2.9,tỷ,2
Vinhomes Ocean Park Gia Lâm,Đông,,2,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,61.0,m2,2.86,tỷ,2
Platinum Residences,,,3,,Đường Nguyễn Công Hoan,Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,118.0,m2,10.5,tỷ,2
,,,3,,Phố Giảng Võ,Phường Giảng Võ,Quận Ba Đình,Hà Nội,80.0,m2,3.85,tỷ,1
Golden Palace,Tây,,4,,,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,141.0,m2,7.5,tỷ,3
,,,2,,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,50.0,m2,2.52,tỷ,2
N03-T2 Ngoại Giao Đoàn,Đông,,2,,,Phường Xuân Tảo,Quận Bắc Từ Liêm,Hà Nội,85.0,m2,6.4,tỷ,2
C14 - Bộ Công An,,,3,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,106.0,m2,5.2,tỷ,2
Hei Tower Điện Lực,,,3,,,,Quận Thanh Xuân,Hà Nội,88.0,m2,5.16,tỷ,2
,,,2,,,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,64.0,m2,4.0,tỷ,2
Mỹ Đình Pearl,,,2,,,Phường Phú Đô,Quận Nam Từ Liêm,Hà Nội,74.0,m2,,tỷ,2
Tân Tây Đô,,,3,,,,Huyện Đan Phượng,Hà Nội,90.0,m2,3.6,tỷ,2
Roman Plaza,,,3,,,,Quận Nam Từ Liêm,Hà Nội,110.0,m2,6.7,tỷ,2
C14 - Bộ Công An,,,3,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,100.0,m2,5.2,tỷ,2
Goldmark City,,,3,,,,Quận Bắc Từ Liêm,Hà Nội,99.0,m2,6.2,tỷ,2
Vinhomes West Point,,,1,,Đường Phạm Hùng,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,37.0,m2,,tỷ,1
Vinhomes Ocean Park Gia Lâm,,,2,,Đường Sao Biển 9,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,62.0,m2,3.3,tỷ,2
Hoàng Thành Pearl,,,4,,,,Quận Nam Từ Liêm,Hà Nội,113.0,m2,8.5,tỷ,1
Le Grand Jardin Sài Đồng,,,3,,,,Quận Long Biên,Hà Nội,85.0,m2,4.8,tỷ,2
N01-T8 Ngoại Giao Đoàn,,,,,,,Quận Bắc Từ Liêm,Hà Nội,133.0,m2,10.5,tỷ,
Hoàng Thành Pearl,,,3,,Đường Nguyễn Văn Giáp,Phường Cầu Diễn,Quận Nam Từ Liêm,Hà Nội,114.0,m2,,tỷ,2
Lumi Hanoi,,,,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,84.0,m2,5.7,tỷ,
C14 - Bộ Công An,,,3,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,120.0,m2,,tỷ,3
Sunshine Center,Nam,,3,,Đường Phạm Hùng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,108.0,m2,,tỷ,2
Golden Palace,,,2,,,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,85.0,m2,5.2,tỷ,2
Hoàng Ngân Plaza,,,2,,Đường Hoàng Ngân,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,73.0,m2,4.3,tỷ,2
Văn Khê,,,3,,,Phường La Khê,Quận Hà Đông,Hà Nội,138.0,m2,5.35,tỷ,2
Nam Xa la,,,2,,,,Quận Hà Đông,Hà Nội,58.0,m2,1.6,tỷ,1
Imperial Plaza,,,3,,Đường Giải Phóng,Phường Phương Liệt,Quận Thanh Xuân,Hà Nội,96.0,m2,,tỷ,2
Le Grand Jardin Sài Đồng,,,3,,,,Quận Long Biên,Hà Nội,84.0,m2,5.15,tỷ,2
Sunrise Building 3,,,3,,Đường Huỳnh Văn Nghệ,Phường Phúc Đồng,Quận Long Biên,Hà Nội,122.0,m2,4.4,tỷ,2
Valencia Garden,,,2,,,,Quận Long Biên,Hà Nội,61.0,m2,3.03,tỷ,1
BRG Diamond Residence,,,4,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,151.0,m2,12.0,tỷ,3
Hong Kong Tower,,,1,,Đường Đê La Thành,Phường Láng Thượng,Quận Đống Đa,Hà Nội,42.0,m2,3.3,tỷ,1
Goldmark City,Bắc,,3,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,Hà Nội,130.0,m2,8.2,tỷ,2
N01-T3 Ngoại Giao Đoàn,,,,,,,Quận Bắc Từ Liêm,Hà Nội,127.0,m2,10.5,tỷ,
,,,4,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,168.0,m2,12.95,tỷ,2
TNR The Nosta,,,2,,,,Quận Đống Đa,Hà Nội,64.0,m2,,tỷ,2
An Bình City,Bắc,,3,,,,Quận Bắc Từ Liêm,Hà Nội,112.0,m2,8.0,tỷ,2
KĐT Linh Đàm,Nam,,3,,,Phường Đại Kim,Quận Hoàng Mai,Hà Nội,83.0,m2,4.7,tỷ,2
Samsora Premier,,,2,,Đường Chu Văn An,Phường Yết Kiêu,Quận Hà Đông,Hà Nội,80.0,m2,4.0,tỷ,2
GoldSilk Complex,,,2,,Phố Cầu Am,Phường Vạn Phúc,Quận Hà Đông,Hà Nội,78.0,m2,4.88,tỷ,2
Booyoung,,,3,,Đường Vũ Trọng Khánh,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,107.0,m2,6.0,tỷ,2
King Palace,,,3,,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,125.0,m2,8.5,tỷ,2
BRG Diamond Residence,,,3,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,144.0,m2,11.0,tỷ,3
Sapphire Palace,,,3,,Phố Chính Kinh,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,100.0,m2,,tỷ,2
Phú Gia Residence,,,3,,Đường Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,117.0,m2,7.0,tỷ,2
Golden Land,,,2,,,,Quận Thanh Xuân,Hà Nội,93.0,m2,6.0,tỷ,2
The Park Home,,,3,,Đường Duy Tân,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,140.0,m2,,tỷ,2
The Pride,,,2,,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,Hà Nội,74.0,m2,3.9,tỷ,2
Eurowindow Multi Complex,,,2,,Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,122.0,m2,7.5,tỷ,2
ĐTM Dịch Vọng,,,2,,,,Quận Cầu Giấy,Hà Nội,92.0,m2,5.36,tỷ,2
HH3 Linh Đàm,,,2,,,,Quận Hoàng Mai,Hà Nội,58.0,m2,2.58,tỷ,2
Trung Yên Plaza,,,3,,,,Quận Cầu Giấy,Hà Nội,191.0,m2,11.8,tỷ,3
Bamboo Airways Tower,,,3,,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,118.0,m2,7.5,tỷ,2
KĐT Linh Đàm,,,2,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,73.0,m2,,tỷ,
HH1 Linh Đàm,,,2,,,,Quận Hoàng Mai,Hà Nội,56.0,m2,2.63,tỷ,2
Green Park Trần Thủ Độ,,,2,,,,Quận Hoàng Mai,Hà Nội,74.0,m2,4.7,tỷ,2
The Canopy Residences - Vinhomes Smart City,,,2,,,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,61.0,m2,4.5,tỷ,
Yên Hòa Condominium,,,3,,Đường Yên Hòa,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,100.0,m2,5.7,tỷ,2
Roman Plaza,,,2,,Đường Tố Hữu,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,70.0,m2,4.8,tỷ,2
,,,3,,Phố Nghĩa Đô,Phường Nghĩa Đô,Quận Cầu Giấy,Hà Nội,100.0,m2,4.5,tỷ,2
The Sapphire-Vinhomes Smart City,,,1,,,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,43.0,m2,2.9,tỷ,1
Văn Phú Victoria,,,2,,,,Quận Hà Đông,Hà Nội,98.0,m2,,tỷ,2
,,,3,,,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,91.0,m2,5.35,tỷ,2
Athena Complex,,,2,,,Phường Phương Canh,Quận Nam Từ Liêm,Hà Nội,69.0,m2,2.95,tỷ,2
Sun Grand City,,,1,,,,Quận Tây Hồ,Hà Nội,55.0,m2,,tỷ,1
Vinhomes Ocean Park Gia Lâm,,,2,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,55.0,m2,2.58,tỷ,1
Mỹ Đình Pearl,,,2,,,Phường Phú Đô,Quận Nam Từ Liêm,Hà Nội,74.0,m2,4.6,tỷ,2
Thanh Hà Mường Thanh,Đông,,2,,,Phường Kiến Hưng,Quận Hà Đông,Hà Nội,72.0,m2,,tỷ,2
Oriental Westlake,,,2,,Đường Lạc Long Quân,Phường Bưởi,Quận Tây Hồ,Hà Nội,75.0,m2,5.45,tỷ,2
Golden Field Mỹ Đình,,,2,,,Phường Cầu Diễn,Quận Nam Từ Liêm,Hà Nội,65.0,m2,4.1,tỷ,2
Housinco Premium,,,,,,,Huyện Thanh Trì,Hà Nội,94.0,m2,5.0,tỷ,
Vinhomes Ocean Park Gia Lâm,,,1,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,47.0,m2,2.2,tỷ,1
The Sapphire-Vinhomes Smart City,,,3,,,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,90.0,m2,5.2,tỷ,2
Mỹ Đình II,,,3,,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,94.0,m2,5.62,tỷ,2
The Zei Mỹ Đình,,,3,,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,114.0,m2,7.9,tỷ,2
The Matrix One,,,3,,Đường Lê Quang Đạo,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,113.0,m2,10.5,tỷ,2
,,,,,,,,Hà Nội,39.0,m2,7.15,tỷ,
Thanh Hà Mường Thanh,,,2,,,Phường Kiến Hưng,Quận Hà Đông,Hà Nội,72.0,m2,,tỷ,2
Vinhomes Metropolis - Liễu Giai,,,2,,,,Quận Ba Đình,Hà Nội,80.0,m2,11.5,tỷ,2
KĐT Văn Quán,,,3,,Đường Nguyễn Khuyến,Phường Phúc La,Quận Hà Đông,Hà Nội,76.0,m2,,tỷ,2
Việt Hưng,,,2,,,,Quận Long Biên,Hà Nội,78.0,m2,4.1,tỷ,2
KĐT Cổ Nhuế,,,3,,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Hà Nội,98.0,m2,5.2,tỷ,2
Booyoung,,,3,,,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,95.0,m2,5.4,tỷ,2
,Đông Bắc,,2,10,Đường Tố Hữu,,,Hà Nội,0.0,m2,5.05,tỷ,2
Tây Nam Đại học Thương Mại,,,2,,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,Hà Nội,77.0,m2,4.2,tỷ,2
Bình Vượng 200 Quang Trung,,,3,,Đường Quang Trung,Phường Quang Trung,Quận Hà Đông,Hà Nội,92.0,m2,3.95,tỷ,2
Mipec Rubik 360,,,2,,Đường Xuân Thủy,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,106.0,m2,9.5,tỷ,2
Hà Nội Homeland,,,2,,,Phường Thượng Thanh,Quận Long Biên,Hà Nội,61.0,m2,3.5,tỷ,
The Pavilion - Vinhomes Ocean Park,,,,,,,Huyện Gia Lâm,Hà Nội,49.0,m2,3.05,tỷ,
Riverside Garden,Đông,,3,,Phố Vũ Tông Phan,Phường Khương Đình,Quận Thanh Xuân,Hà Nội,86.0,m2,6.0,tỷ,2
Hồ Gươm Plaza,,,3,,Đường Trần Phú,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,130.0,m2,6.6,tỷ,2
16B Nguyễn Thái Học,,,3,,Đường Nguyễn Thái Học,Phường Yết Kiêu,Quận Hà Đông,Hà Nội,117.0,m2,,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,1,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,37.0,m2,1.63,tỷ,1
Golden Park Tower,,,3,,Đường Phạm Văn Bạch,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,98.0,m2,7.59,tỷ,2
Times Tower - HACC1 Complex Building,,,3,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,107.0,m2,7.5,tỷ,2
The Zurich - Vinhomes Ocean Park,,,3,,,,Huyện Gia Lâm,Hà Nội,88.0,m2,5.3,tỷ,2
GoldSeason,,,3,,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,80.0,m2,6.5,tỷ,2
Mỹ Đình I,,,3,,Đường Nguyễn Cơ Thạch,Phường Cầu Diễn,Quận Nam Từ Liêm,Hà Nội,82.0,m2,4.68,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,2,,,Xã Đa Tốn,Huyện Gia Lâm,Hà Nội,69.0,m2,3.1,tỷ,2
Golden Land,,,4,,Đường Nguyễn Trãi,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,145.0,m2,8.68,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,2,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,60.0,m2,2.5,tỷ,1
Star Tower 283 Khương Trung,,,2,,Đường Khương Trung,Phường Khương Trung,Quận Thanh Xuân,Hà Nội,84.0,m2,3.3,tỷ,2
CT4 Vimeco II,,,3,,Đường Nguyễn Chánh,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,96.0,m2,6.8,tỷ,2
Việt Đức Complex,,,3,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,94.0,m2,4.0,tỷ,2
PCC1 Triều Khúc,,,2,,,,Quận Thanh Xuân,Hà Nội,60.0,m2,4.25,tỷ,2
Trung Hòa Nhân Chính,,,3,,,,Quận Cầu Giấy,Hà Nội,151.0,m2,8.4,tỷ,3
Times City - Park Hill,Bắc,,3,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,Hà Nội,95.0,m2,8.5,tỷ,2
,,,,,,Phường Phương Liên,Quận Đống Đa,Hà Nội,55.0,m2,3.18,tỷ,
Pandora 53 Triều Khúc,,,2,,,,Quận Thanh Xuân,Hà Nội,82.0,m2,5.3,tỷ,2
Chung cư The Senique Hanoi,,,2,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,42.0,m2,68.0,triệu,
The Beverly - Vinhomes Ocean Park,,,3,,,,Huyện Gia Lâm,Hà Nội,81.0,m2,4.77,tỷ,2
Chelsea Residences,,,3,,,,Quận Cầu Giấy,Hà Nội,131.0,m2,12.2,tỷ,3
,,,3,,Phố Nghĩa Tân,Phường Nghĩa Tân,Quận Cầu Giấy,Hà Nội,100.0,m2,4.3,tỷ,2
Handi Resco Lê văn Lương,,,2,,,,Quận Thanh Xuân,Hà Nội,71.0,m2,5.0,tỷ,2
Golden Land,,,4,,Đường Nguyễn Trãi,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,168.0,m2,8.9,tỷ,3
The Zenpark,,,2,,,,Huyện Gia Lâm,Hà Nội,74.0,m2,4.65,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,,,,,Huyện Gia Lâm,Hà Nội,54.0,m2,,tỷ,
Trung Yên Plaza,,,3,,,,Quận Cầu Giấy,Hà Nội,192.0,m2,11.0,tỷ,3
Vinhomes Ocean Park Gia Lâm,Bắc,,2,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,63.0,m2,3.1,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,3,,Đường 5,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,80.0,m2,3.3,tỷ,2
Vinhomes Ocean Park Gia Lâm,,,2,,,,Huyện Gia Lâm,Hà Nội,55.0,m2,2.7,tỷ,1
Vinhomes Ocean Park Gia Lâm,,,2,,,Xã Đa Tốn,Huyện Gia Lâm,Hà Nội,55.0,m2,2.55,tỷ,1
Vinhomes Ocean Park Gia Lâm,,,1,,,Xã Dương Xá,Huyện Gia Lâm,Hà Nội,43.0,m2,2.32,tỷ,1
Gemek Premium,,,3,,Đường Lê Trọng Tấn,Xã An Khánh,Huyện Hoài Đức,Hà Nội,89.0,m2,4.5,tỷ,2
Tân Tây Đô,,,,,Đường Quốc lộ 32 Xã Tân Lập,,Huyện Đan Phượng,Hà Nội,82.0,m2,2.6,tỷ,
Xuân Mai Complex,,,2,,,,Quận Hà Đông,Hà Nội,65.0,m2,,tỷ,2
Green Park Trần Thủ Độ,,,2,,Đường Trần Thủ Độ,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,74.0,m2,4.8,tỷ,2
Green Stars,,,3,,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Hà Nội,102.0,m2,6.7,tỷ,2
173 Xuân Thủy,,,3,,Đường Xuân Thủy,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,110.0,m2,7.0,tỷ,2
Nam Trung Yên,,,3,,,,Quận Cầu Giấy,Hà Nội,78.0,m2,4.7,tỷ,2
Gemek Premium,,,2,,Đường Lê Trọng Tấn,Xã An Khánh,Huyện Hoài Đức,Hà Nội,66.0,m2,3.29,tỷ,2
Goldmark City,,,3,,,,Quận Bắc Từ Liêm,Hà Nội,94.0,m2,6.25,tỷ,2
Goldmark City,Bắc,,2,,,,Quận Bắc Từ Liêm,Hà Nội,99.0,m2,6.5,tỷ,2
Vinaconex 21,,,2,,Đường Ba La,Phường Phú La,Quận Hà Đông,Hà Nội,97.0,m2,3.3,tỷ,2
Thành Phố Giao Lưu,,,,,,,Quận Bắc Từ Liêm,Hà Nội,69.0,m2,4.8,tỷ,
310 Minh Khai,,,3,,,,Quận Hai Bà Trưng,Hà Nội,98.0,m2,5.0,tỷ,2
Imperia Sky Garden,,,3,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,Hà Nội,105.0,m2,8.0,tỷ,2
Hà Nội Melody Residences,,,2,,,,Quận Hoàng Mai,Hà Nội,74.0,m2,3.77,tỷ,2
Sky Central,Đông,,2,,Đường Định Công,Phường Định Công,Quận Hoàng Mai,Hà Nội,112.0,m2,7.2,tỷ,2
The Pride,,,2,,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,Hà Nội,73.0,m2,3.65,tỷ,2
Mỹ Đình Plaza 2,,,2,,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,70.0,m2,4.6,tỷ,2
Vinhomes Smart City,,,,,,,Quận Nam Từ Liêm,Hà Nội,64.0,m2,4.5,tỷ,
An Lạc Green Symphony,,,2,,,,Huyện Hoài Đức,Hà Nội,95.0,m2,5.5,tỷ,3
,,,,,Đường Phạm Ngọc Thạch,Phường Phương Liên,Quận Đống Đa,Hà Nội,34.0,m2,6.45,tỷ,
Xuân Mai Complex,,,3,,Đường Tố Hữu,Phường Yên Nghĩa,Quận Hà Đông,Hà Nội,80.0,m2,4.0,tỷ,2
An Bình Plaza,,,2,,Phố Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,59.0,m2,3.9,tỷ,1
KĐT Xa La,,,2,,Phố Phùng Hưng,Phường Phúc La,Quận Hà Đông,Hà Nội,58.0,m2,,tỷ,2
The Sapphire-Vinhomes Smart City,,,3,,,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,90.0,m2,5.2,tỷ,2
CT2 Yên Nghĩa,,,4,,,,Quận Hà Đông,Hà Nội,122.0,m2,4.6,tỷ,3
Roman Plaza,,,2,,Đường Tố Hữu,Phường Đại Mỗ,Quận Nam Từ Liêm,Hà Nội,70.0,m2,4.6,tỷ,2
Xuân Mai Riverside,,,2,,Đường Thanh Bình,Phường Mỗ Lao,Quận Hà Đông,Hà Nội,76.0,m2,4.0,tỷ,2
NHS Phương Canh Residence,,,2,,Đường Nhổn,Phường Phương Canh,Quận Nam Từ Liêm,Hà Nội,59.0,m2,2.6,tỷ,2
Ecolife Capitol,,,2,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,75.0,m2,4.4,tỷ,2
Park View Residence Dương Nội,,,2,,Đường Tố Hữu,Phường Dương Nội,Quận Hà Đông,Hà Nội,68.0,m2,3.3,tỷ,2
Khu nhà ở Hưng Thịnh,,,2,,,Phường Kiến Hưng,Quận Hà Đông,Hà Nội,56.0,m2,,tỷ,1
M3 - M4 Nguyễn Chí Thanh,,,3,,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa,Hà Nội,130.0,m2,8.0,tỷ,2
Mỹ Đình Pearl,,,2,,,Phường Phú Đô,Quận Nam Từ Liêm,Hà Nội,78.0,m2,5.6,tỷ,2
Mỹ Đình Plaza 2,,,2,,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,74.0,m2,4.4,tỷ,2
Thanh Hà Mường Thanh,Nam,,2,,,,Quận Hà Đông,Hà Nội,70.0,m2,2.4,tỷ,2
Tòa nhà 197 Trần Phú,,,2,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,Hà Nội,88.0,m2,,tỷ,2
FLC Garden City,Nam,,2,,,,Quận Nam Từ Liêm,Hà Nội,58.0,m2,,tỷ,1
Sky Park Residence,Bắc,,3,,Đường Tôn Thất Thuyết,Phường Dịch Vọng Hậu,Quận Cầu Giấy,Hà Nội,128.0,m2,12.5,tỷ,2
